DATE,AVG_TEMP(°C),MIN_TEMP(°C),MAX_TEMP(°C),DUR_RAINFALL(hr),MAX_RAIN_FOR_10MIN(mm),MAX_RAIN_FOR_1H(mm),DAILY_RAINFALL(mm),MAX_WIND_VELOCITY(m/s),AVG_WIND_VELOCITY(m/s),MIN_REL_HUMIDITY(%),AVG_REL_HUMIDITY(%)
1934-01-01,-0.8,-2.7,2.6,0,0,0,0,7.9,5.1,34,50
1934-01-02,0,-4.7,4.9,0,0,0,0,5.2,2.5,41,48
1934-01-03,-1,-3.7,1.6,0,0,0,0,6.5,4.7,28,40
1934-01-04,-1.9,-5.7,1.7,0,0,0,0,6.2,4.4,27,36
1934-01-05,-2.6,-5.6,0.6,0,0,0,0,4.8,3,32,43.3
1934-01-06,-0.8,-5.3,4,0,0,0,0,7.9,4.4,21,32.7
1934-01-07,0.3,-3,4.2,0,0,0,0,5.4,4.6,19,30.3
1934-01-08,-0.8,-3.7,3.7,0,0,0,0,7.4,3.8,13,21.3
1934-01-09,-0.1,-5.2,4.8,0,0,0,0,10.9,4.6,22,33.3
1934-01-10,1,-2.5,5.2,0,0,0,0,11.3,3.7,25,36.7
1934-01-11,-2.8,-6.4,2,0,0,0,0,16.4,10.2,17,34
1934-01-12,-3,-6.4,1.7,0,0,0,0,10.6,5.4,29,39
1934-01-13,-3.1,-7,2.5,0,0,0,0,4.6,2.8,23,34.7
1934-01-14,0.4,-5.5,5.4,0,0,0,0,14.3,4.9,19,28.7
1934-01-15,3.3,-0.4,7.5,0,0,0,0,5.5,2.9,22,31.7
1934-01-16,0.9,-1,3.4,0,0,0,0,9.4,7.7,16,29
1934-01-17,-0.4,-5.5,5.1,0,0,0,0,13.7,7.8,19,29.3
1934-01-18,3.8,-0.7,7.5,0,0,0,1.6,5.8,3.3,31,62
1934-01-19,2.3,-0.2,5.7,0,0,0,2.6,9.3,4.9,36,58.7
1934-01-20,-3.6,-7.3,1.5,0,0,0,0,8.9,6.4,29,40.7
1934-01-21,-5.1,-8.2,-0.2,0,0,0,0,4.6,3.1,26,42
1934-01-22,-5.3,-7.6,-1.2,0,0,0,0,21.8,5.2,24,40.7
1934-01-23,-5.9,-9,-0.6,0,0,0,0,5.7,6.1,23,37.3
1934-01-24,-6.6,-9.9,-1.9,0,0,0,0,7,4.2,26,37
1934-01-25,-6.3,-9.8,-0.5,0,0,0,0,7.3,4.1,24,39.3
1934-01-26,-4.6,-8.9,0.4,0,0,0,0,5.8,3.7,17,31.3
1934-01-27,-1.1,-6.6,4.9,0,0,0,0,11.4,5.1,10,23.7
1934-01-28,1.9,-2.5,7.3,0,0,0,0,3.6,2.7,24,34.7
1934-01-29,4.2,-0.6,8.7,0,0,0,0,5.6,3.3,27,36.3
1934-01-30,4.5,0.9,9.7,0,0,0,0,3.1,2.1,37,54.7
1934-01-31,5,1.4,10.9,0,0,0,0,5.6,2,20,45
1934-02-01,6.2,4.3,9.4,0,0,0,0.4,6.9,6.5,33,68.3
1934-02-02,4.2,3.2,5.5,0,0,0,8,7.7,6.3,88,89.7
1934-02-03,1.5,-0.8,5,0,0,0,2.6,5.7,3.8,51,68
1934-02-04,-0.2,-3.5,3.7,0,0,0,0,6.9,3.6,42,53.3
1934-02-05,0.2,-1.2,3.9,0,0,0,0,5.8,3.5,30,45.3
1934-02-06,-0.4,-4.1,4.4,0,0,0,0,10.1,5.3,32,41
1934-02-07,2.1,-1.9,7.1,0,0,0,0,7.1,3.5,40,47.3
1934-02-08,1.4,-0.9,6.6,0,0,0,0,6.5,3.8,39,45
1934-02-09,0.9,-2.4,5,0,0,0,0,6.5,3.3,24,38
1934-02-10,3.2,-1.1,8.6,0,0,0,0,4.6,2.4,32,46.7
1934-02-11,3.4,-1,8.6,0,0,0,0,6.8,4,32,47
1934-02-12,3.5,-0.7,8.7,0,0,0,0,8.9,4,27,41.3
1934-02-13,4.2,0.6,9.1,0,0,0,0,3.3,2.4,26,35.3
1934-02-14,1.4,-1.5,4.6,0,0,0,0,8.5,4.8,31,43.7
1934-02-15,0.1,-4.5,6.4,0,0,0,0,11.9,4.8,26,41
1934-02-16,2.1,-2.2,6.8,0,0,0,0,5.5,4.2,27,32.3
1934-02-17,5,0.1,9.3,0,0,0,0,6.3,4.2,38,51
1934-02-18,3.9,-1,7.4,0,0,0,0,9.3,6.6,20,38
1934-02-19,-0.4,-5.6,5.3,0,0,0,0,5.3,3.2,20,36.3
1934-02-20,3.2,-2.5,8.7,0,0,0,0,5.1,3.2,22,32
1934-02-21,6.5,2.3,12.3,0,0,0,0,6.1,4.5,30,45.7
1934-02-22,5.2,1.5,10.6,0,0,0,0,7.8,5.3,26,35.3
1934-02-23,3.4,-2.7,7.8,0,0,0,0,9.3,4.5,32,39
1934-02-24,5,-1,10.3,0,0,0,0,7.1,4.2,20,27.7
1934-02-25,5,2.2,10.6,0,0,0,0,9,2.9,20,29
1934-02-26,2.1,-1.6,7.5,0,0,0,0,14.1,6.9,25,30.7
1934-02-27,1.4,-2.2,6.2,0,0,0,0,12.2,5.8,20,30.7
1934-02-28,4.9,-1,10.2,0,0,0,0,6.1,4.4,23,34
1934-03-01,2.3,-0.1,7,0,0,0,0,5.8,5.1,23,37.3
1934-03-02,2,-2.3,8.1,0,0,0,0,9.8,5.8,24,30.3
1934-03-03,2.3,-0.4,6.8,0,0,0,0,8.3,6,12,32.7
1934-03-04,0.8,-1.3,4.4,0,0,0,0,10.7,5.1,32,39.7
1934-03-05,-1.4,-5.6,3.1,0,0,0,0,5.5,4.3,24,41.7
1934-03-06,2.7,-1.8,9.2,0,0,0,0,9,4.4,28,43.3
1934-03-07,4.5,-0.1,10.7,0,0,0,2.2,5.7,3.5,43,57.7
1934-03-08,5.2,2.3,9.8,0,0,0,0,10.7,6.8,14,32
1934-03-09,3.3,-1.8,9.1,0,0,0,0,3.7,2.8,24,25.3
1934-03-10,4.1,0.2,9,0,0,0,0,5,4.5,29,54
1934-03-11,5.9,2.9,8.4,0,0,0,2.2,7.3,6.1,55,67.7
1934-03-12,9.3,6.8,11.3,0,0,0,37,12.8,8.2,85,94
1934-03-13,6.1,2.2,9.8,0,0,0,0,14.5,5.3,32,55.3
1934-03-14,1.3,-0.7,5.1,0,0,0,0,10.6,7.4,31,41.3
1934-03-15,1.1,-1.2,5.1,0,0,0,0,10.5,8.1,30,38.7
1934-03-16,1.8,-2.5,7,0,0,0,0,7.8,6.2,30,41.3
1934-03-17,6,-0.6,12.1,0,0,0,0,8.2,5.4,37,49.7
