DATE,AVG_TEMP(°C),MIN_TEMP(°C),MAX_TEMP(°C),DUR_RAINFALL(hr),MAX_RAIN_FOR_10MIN(mm),MAX_RAIN_FOR_1H(mm),DAILY_RAINFALL(mm),MAX_WIND_VELOCITY(m/s),AVG_WIND_VELOCITY(m/s),MIN_REL_HUMIDITY(%),AVG_REL_HUMIDITY(%)
1973-01-01,2.9,0.1,7.8,0.88,0,0,0.2,7,1.6,60,74.5
1973-01-02,-5.2,-7.2,0.6,2.06,0,0,0.3,7.5,3.8,46,61
1973-01-03,-5.4,-14.5,-2,10.22,0,0,0.3,4,1.1,64,81
1973-01-04,-2.8,-8,2.1,1.38,0,0,0.1,3.5,0.8,57,84.5
1973-01-05,-0.9,-4.6,5.1,0,0,0,0,4,0.6,43,76.8
1973-01-06,-0.3,-4.4,2.6,3.38,0,0,2.9,5,1.4,68,82.8
1973-01-07,0.8,0,1.8,23.45,0,0,31.7,5,1.1,89,94.3
1973-01-08,1.2,-0.6,4.3,0,0,0,0,4.5,0.9,54,76.8
1973-01-09,1.4,-1.1,5.8,0,0,0,0,3.5,0.5,47,75.8
1973-01-10,-0.8,-5.7,1,0,0,0,0,8,2.6,48,64
1973-01-11,-4.7,-9.4,-0.1,0,0,0,0,3,0.5,45,66.8
1973-01-12,-4.2,-9.6,2.2,0,0,0,0,4,0.7,45,76
1973-01-13,-3.2,-7.2,2.3,0,0,0,0,2.5,0.3,37,72.3
1973-01-14,-2.8,-8,3.8,0,0,0,0,2,0.3,36,67.5
1973-01-15,-1.5,-6.1,5.3,0,0,0,0,2.5,0.4,40,76.3
1973-01-16,0.4,-4,4.8,10.88,0,0,1.7,5,1.3,66,85.3
1973-01-17,1.7,0.5,3.5,16.88,0,0,7.1,2,0.5,89,91.8
1973-01-18,2,-0.8,4.9,5.38,0,0,2,4.5,1.5,56,85
1973-01-19,1.8,-0.9,3.3,1.92,0,0,0,3,0.7,72,80.3
1973-01-20,1.3,-1.8,7.2,0,0,0,0,2.5,0.6,34,80.5
1973-01-21,1.4,-3.4,6.8,0,0,0,0,4,1.8,48,72
1973-01-22,4.5,-0.3,10.8,0,0,0,0,5.5,2.2,49,73
1973-01-23,5.1,0.7,9.5,3.7,0,0,3.6,7,3,52,74.5
